run_accession	library_name	library_strategy	base_count	first_public	last_updated	run_alias	fastq_ftp	sample_alias	sample_title
SRR23904610	WG0P-220420-39	AMPLICON	603440998	2023-03-19	2023-03-22	WG0P-20220420-39_S92_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/010/SRR23904610/SRR23904610_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/010/SRR23904610/SRR23904610_2.fastq.gz	WG0P-220420-39	SARS-CoV-2: wastewater surveillance sample from wastewater metagenome
SRR23904615	WG0L-220504-39	AMPLICON	82157216	2023-03-19	2023-03-24	WG0L-20220504-39_S90_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/015/SRR23904615/SRR23904615_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/015/SRR23904615/SRR23904615_2.fastq.gz	WG0L-220504-39	SARS-CoV-2: wastewater surveillance sample from wastewater metagenome
SRR23904617	WG0L-220413-39	AMPLICON	997960510	2023-03-19	2023-03-21	WG0L-20220413-39_S75_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/017/SRR23904617/SRR23904617_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/017/SRR23904617/SRR23904617_2.fastq.gz	WG0L-220413-39	SARS-CoV-2: wastewater surveillance sample from wastewater metagenome
SRR23904618	WG0L-220406-39	AMPLICON	666788820	2023-03-19	2023-03-21	WG0L-20220406-39_S61_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/018/SRR23904618/SRR23904618_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/018/SRR23904618/SRR23904618_2.fastq.gz	WG0L-220406-39	SARS-CoV-2: wastewater surveillance sample from wastewater metagenome
SRR23904619	WG0L-220330-39	AMPLICON	483227180	2023-03-19	2023-03-22	WG0L-20220330-39_S46_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/019/SRR23904619/SRR23904619_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/019/SRR23904619/SRR23904619_2.fastq.gz	WG0L-220330-39	SARS-CoV-2: wastewater surveillance sample from wastewater metagenome
SRR23904623	WC0Dc-220622-39	AMPLICON	1113068682	2023-03-19	2023-03-22	WC0Dc-220622-39_S37_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/023/SRR23904623/SRR23904623_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/023/SRR23904623/SRR23904623_2.fastq.gz	WC0Dc-220622-39	SARS-CoV-2: wastewater surveillance sample from wastewater metagenome
SRR23904624	WG0Hp-220302-39	AMPLICON	92531958	2023-03-19	2023-03-24	WG0Hp-20220302-34_S112_L002_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/024/SRR23904624/SRR23904624_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/024/SRR23904624/SRR23904624_2.fastq.gz	WG0Hp-220302-39	SARS-CoV-2: wastewater surveillance sample from wastewater metagenome
SRR23904625	WG0L-211228-39	AMPLICON	59212360	2023-03-19	2023-03-24	WG0L-211228-39-V3_S59_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/025/SRR23904625/SRR23904625_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/025/SRR23904625/SRR23904625_2.fastq.gz	WG0L-211228-39	SARS-CoV-2: wastewater surveillance sample from wastewater metagenome
SRR23904632	WG0Kc-210615-31	AMPLICON	241671336	2023-03-19	2023-03-24	WG0Kc-210615-33_S28_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/032/SRR23904632/SRR23904632_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/032/SRR23904632/SRR23904632_2.fastq.gz	WG0Kc-210615-31	SARS-CoV-2: wastewater surveillance sample from wastewater metagenome
SRR23904637	WG0Hp-220323-39	AMPLICON	146324320	2023-03-19	2023-03-22	WG0Hp-20220323-39_S37_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/037/SRR23904637/SRR23904637_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/037/SRR23904637/SRR23904637_2.fastq.gz	WG0Hp-220323-39	SARS-CoV-2: wastewater surveillance sample from wastewater metagenome
SRR23904640	WG0Hp-220202-39	AMPLICON	931539904	2023-03-19	2023-03-22	WG0Hp-220202-39-V3_S9_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/040/SRR23904640/SRR23904640_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/040/SRR23904640/SRR23904640_2.fastq.gz	WG0Hp-220202-39	SARS-CoV-2: wastewater surveillance sample from wastewater metagenome
SRR23904642	WG0Hp-211228-39	AMPLICON	107403504	2023-03-19	2023-03-24	WG0Hp-211228-39-V3_S58_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/042/SRR23904642/SRR23904642_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/042/SRR23904642/SRR23904642_2.fastq.gz	WG0Hp-211228-39	SARS-CoV-2: wastewater surveillance sample from wastewater metagenome
SRR23904644	WG0Hp-211214-39	AMPLICON	18568776	2023-03-19	2023-03-23	WG0Hp-211214-19-V3_S89_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/044/SRR23904644/SRR23904644_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/044/SRR23904644/SRR23904644_2.fastq.gz	WG0Hp-211214-39	SARS-CoV-2: wastewater surveillance sample from wastewater metagenome
SRR23904647	WC0Dg-210608-31	AMPLICON	45484328	2023-03-19	2023-03-22	WaWa-20210608-WC0Dg-ARTIC-19_S84_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/047/SRR23904647/SRR23904647_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/047/SRR23904647/SRR23904647_2.fastq.gz	WC0Dg-210608-31	SARS-CoV-2: wastewater surveillance sample from wastewater metagenome
SRR23904648	WC0Dg-210601-31	AMPLICON	390776648	2023-03-19	2023-03-24	WC0Dg-210601-33_S34_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/048/SRR23904648/SRR23904648_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/048/SRR23904648/SRR23904648_2.fastq.gz	WC0Dg-210601-31	SARS-CoV-2: wastewater surveillance sample from wastewater metagenome
SRR23904649	WC0Dg-210525-31	AMPLICON	425185192	2023-03-19	2023-03-24	WC0Dg-210525-33_S36_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/049/SRR23904649/SRR23904649_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/049/SRR23904649/SRR23904649_2.fastq.gz	WC0Dg-210525-31	SARS-CoV-2: wastewater surveillance sample from wastewater metagenome
SRR23904654	WSNS-220126-39	AMPLICON	76306584	2023-03-19	2023-03-24	WSNS-220126-39-V3_S55_L003_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/054/SRR23904654/SRR23904654_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/054/SRR23904654/SRR23904654_2.fastq.gz	WSNS-220126-39	SARS-CoV-2: wastewater surveillance sample from wastewater metagenome
SRR23904655	WC0Dg-210420-31	AMPLICON	570344432	2023-03-19	2023-03-24	WC0Dg-210420-33_S65_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/055/SRR23904655/SRR23904655_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/055/SRR23904655/SRR23904655_2.fastq.gz	WC0Dg-210420-31	SARS-CoV-2: wastewater surveillance sample from wastewater metagenome
SRR23904658	WC0Dg-210330-31	AMPLICON	324290936	2023-03-19	2023-03-22	WC0Dg-210330-33_S92_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/058/SRR23904658/SRR23904658_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/058/SRR23904658/SRR23904658_2.fastq.gz	WC0Dg-210330-31	SARS-CoV-2: wastewater surveillance sample from wastewater metagenome
SRR23904659	WC0Dg-210323-31	AMPLICON	238902200	2023-03-19	2023-03-24	WC0Dg-210323-33_S93_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/059/SRR23904659/SRR23904659_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/059/SRR23904659/SRR23904659_2.fastq.gz	WC0Dg-210323-31	SARS-CoV-2: wastewater surveillance sample from wastewater metagenome
SRR23904661	WC0Dg-210302-31	AMPLICON	251818248	2023-03-19	2023-03-24	WC0Dg-210302_S46_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/061/SRR23904661/SRR23904661_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/061/SRR23904661/SRR23904661_2.fastq.gz	WC0Dg-210302-31	SARS-CoV-2: wastewater surveillance sample from wastewater metagenome
SRR23904662	WC0Dg-210223-31	AMPLICON	238579200	2023-03-19	2023-03-23	WC0Dg-210223_S53_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/062/SRR23904662/SRR23904662_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/062/SRR23904662/SRR23904662_2.fastq.gz	WC0Dg-210223-31	SARS-CoV-2: wastewater surveillance sample from wastewater metagenome
SRR23904667	WC0Dc-210105-31	AMPLICON	137468040	2023-03-19	2023-03-23	WaWa-20210105-WC0Dc-ARTIC-19_S65_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/067/SRR23904667/SRR23904667_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/067/SRR23904667/SRR23904667_2.fastq.gz	WC0Dc-210105-31	SARS-CoV-2: wastewater surveillance sample from wastewater metagenome
SRR23904668	WSSP-220119-39	AMPLICON	12004048	2023-03-19	2023-03-24	WSSP-220119-39-V3_S32_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/068/SRR23904668/SRR23904668_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/068/SRR23904668/SRR23904668_2.fastq.gz	WSSP-220119-39	SARS-CoV-2: wastewater surveillance sample from wastewater metagenome
SRR23904672	WSFE-220112-39	AMPLICON	151181024	2023-03-19	2023-03-23	WSFE-220112-39-V3_S18_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/072/SRR23904672/SRR23904672_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/072/SRR23904672/SRR23904672_2.fastq.gz	WSFE-220112-39	SARS-CoV-2: wastewater surveillance sample from wastewater metagenome
SRR23904674	WM06-220105-39	AMPLICON	186147408	2023-03-19	2023-03-23	WM06-220105-39-V3_S68_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/074/SRR23904674/SRR23904674_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/074/SRR23904674/SRR23904674_2.fastq.gz	WM06-220105-39	SARS-CoV-2: wastewater surveillance sample from wastewater metagenome
SRR23904676	WG02g-220105-39	AMPLICON	127842944	2023-03-19	2023-03-23	WG02g-220105-39-V3_S65_L002_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/076/SRR23904676/SRR23904676_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/076/SRR23904676/SRR23904676_2.fastq.gz	WG02g-220105-39	SARS-CoV-2: wastewater surveillance sample from wastewater metagenome
SRR23904681	WG02c-220713-39	AMPLICON	1097998674	2023-03-19	2023-03-24	WG02c-220713-39_S57_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/081/SRR23904681/SRR23904681_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/081/SRR23904681/SRR23904681_2.fastq.gz	WG02c-220713-39	SARS-CoV-2: wastewater surveillance sample from wastewater metagenome
SRR23904683	WG02c-220629-39	AMPLICON	1141481598	2023-03-19	2023-03-22	WG02c-220629-39_S40_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/083/SRR23904683/SRR23904683_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/083/SRR23904683/SRR23904683_2.fastq.gz	WG02c-220629-39	SARS-CoV-2: wastewater surveillance sample from wastewater metagenome
SRR23904685	WG02c-220608-39_samp_rep_tech_2	AMPLICON	638622394	2023-03-19	2023-03-22	WG02c-220608-39_S18_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/085/SRR23904685/SRR23904685_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/085/SRR23904685/SRR23904685_2.fastq.gz	WG02c-220608-39_samp_rep_tech_2	SARS-CoV-2: wastewater surveillance sample from wastewater metagenome
SRR23904686	WG02c-220608-39_samp_rep_tech_1	AMPLICON	3093639292	2023-03-19	2023-03-24	WG02c-220608-39-2_S77_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/086/SRR23904686/SRR23904686_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/086/SRR23904686/SRR23904686_2.fastq.gz	WG02c-220608-39_samp_rep_tech_1	SARS-CoV-2: wastewater surveillance sample from wastewater metagenome
SRR23904692	WG01-220727-39_samp_rep_tech_4	AMPLICON	1157174170	2023-03-19	2023-03-22	WG01-220727-39_S71_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/092/SRR23904692/SRR23904692_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/092/SRR23904692/SRR23904692_2.fastq.gz	WG01-220727-39_samp_rep_tech_4	SARS-CoV-2: wastewater surveillance sample from wastewater metagenome
SRR23904694	WSSP-220222-39	AMPLICON	163739872	2023-03-19	2023-03-24	WSSP-20220223_S10_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/094/SRR23904694/SRR23904694_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/094/SRR23904694/SRR23904694_2.fastq.gz	WSSP-220222-39	SARS-CoV-2: wastewater surveillance sample from wastewater metagenome
SRR23904700	WSNB-220517-39	AMPLICON	117307216	2023-03-19	2023-03-22	WSNB-220518-39_S66_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/000/SRR23904700/SRR23904700_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/000/SRR23904700/SRR23904700_2.fastq.gz	WSNB-220517-39	SARS-CoV-2: wastewater surveillance sample from wastewater metagenome
SRR23904701	WG01-220727-26_samp_rep_tech_2	AMPLICON	2022746190	2023-03-19	2023-03-24	WG01-220727-26_S3_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/001/SRR23904701/SRR23904701_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/001/SRR23904701/SRR23904701_2.fastq.gz	WG01-220727-26_samp_rep_tech_2	SARS-CoV-2: wastewater surveillance sample from wastewater metagenome
SRR23904703	WM08-220420-39	AMPLICON	365137328	2023-03-19	2023-03-22	WM08-20220420-39_S97_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/003/SRR23904703/SRR23904703_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/003/SRR23904703/SRR23904703_2.fastq.gz	WM08-220420-39	SARS-CoV-2: wastewater surveillance sample from wastewater metagenome
SRR23904706	WSBT-220119-39	AMPLICON	63479304	2023-03-19	2023-03-22	WSBT-220119-39-V3_S27_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/006/SRR23904706/SRR23904706_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/006/SRR23904706/SRR23904706_2.fastq.gz	WSBT-220119-39	SARS-CoV-2: wastewater surveillance sample from wastewater metagenome
