sequencing_platform	sequencing_type	instrument_model	insert_size	first_file	second_file	uuid	ENA number	sample_name	isolate	strain	organism	latitude	longitude	country	region	city	collection_date	host	host_status	collected_by	isolation_source
Illumina	paired	Illumina NextSeq 550	300	/home/projects/cge/data/cge_private/FOOD_seqdata/NextSeq/NextSeq_010/FoodQCPipeline_tmp/conc_fqs/DTU2017-1286-PRJ1066-CPH-Sewage-16_R1_001.fq.gz	/home/projects/cge/data/cge_private/FOOD_seqdata/NextSeq/NextSeq_010/FoodQCPipeline_tmp/conc_fqs/DTU2017-1286-PRJ1066-CPH-Sewage-16_R2_001.fq.gz	DTU2017-1286-PRJ1066-CPH-Sewage-16	ERR3562846	DTU2017-1286-PRJ1066-CPH-Sewage-16	DTU2017-1286-PRJ1066-CPH-Sewage-16		wastewater metagenome	55.6406	12.5056	Denmark	Valby	Copenhagen	2015-12-09			DTU	wastewater
Illumina	paired	Illumina NextSeq 550	300	/home/projects/cge/data/cge_private/FOOD_seqdata/NextSeq/NextSeq_010/FoodQCPipeline_tmp/conc_fqs/DTU2017-1287-PRJ1066-CPH-Sewage-17_R1_001.fq.gz	/home/projects/cge/data/cge_private/FOOD_seqdata/NextSeq/NextSeq_010/FoodQCPipeline_tmp/conc_fqs/DTU2017-1287-PRJ1066-CPH-Sewage-17_R2_001.fq.gz	DTU2017-1287-PRJ1066-CPH-Sewage-17	ERR3562847	DTU2017-1287-PRJ1066-CPH-Sewage-17	DTU2017-1287-PRJ1066-CPH-Sewage-17		wastewater metagenome	55.6406	12.5056	Denmark	Valby	Copenhagen	2015-12-12			DTU	wastewater
Illumina	paired	Illumina NextSeq 550	300	/home/projects/cge/data/cge_private/FOOD_seqdata/NextSeq/NextSeq_011/FoodQCPipeline_tmp/conc_fqs/DTU2017-1288-PRJ1066-CPH-Sewage-18_R1_001.fq.gz	/home/projects/cge/data/cge_private/FOOD_seqdata/NextSeq/NextSeq_011/FoodQCPipeline_tmp/conc_fqs/DTU2017-1288-PRJ1066-CPH-Sewage-18_R2_001.fq.gz	DTU2017-1288-PRJ1066-CPH-Sewage-18	ERR3562848	DTU2017-1288-PRJ1066-CPH-Sewage-18	DTU2017-1288-PRJ1066-CPH-Sewage-18		wastewater metagenome	55.6406	12.5056	Denmark	Valby	Copenhagen	2015-12-17			DTU	wastewater
Illumina	paired	Illumina NextSeq 550	300	/home/projects/cge/data/cge_private/FOOD_seqdata/NextSeq/Nextseq_036/FoodQCPipeline_tmp/conc_fqs/DTU2017-1289-PRJ1066-CPH-Sewage-19_R1_001.fq.gz	/home/projects/cge/data/cge_private/FOOD_seqdata/NextSeq/Nextseq_036/FoodQCPipeline_tmp/conc_fqs/DTU2017-1289-PRJ1066-CPH-Sewage-19_R2_001.fq.gz	DTU2017-1289-PRJ1066-CPH-Sewage-19	ERR3562849	DTU2017-1289-PRJ1066-CPH-Sewage-19	DTU2017-1289-PRJ1066-CPH-Sewage-19		wastewater metagenome	55.6406	12.5056	Denmark	Valby	Copenhagen	2015-12-21			DTU	wastewater
Illumina	paired	Illumina NextSeq 550	300	/home/projects/cge/data/cge_private/FOOD_seqdata/NextSeq/Nextseq_036/FoodQCPipeline_tmp/conc_fqs/DTU2017-1290-PRJ1066-CPH-Sewage-20_R1_001.fq.gz	/home/projects/cge/data/cge_private/FOOD_seqdata/NextSeq/Nextseq_036/FoodQCPipeline_tmp/conc_fqs/DTU2017-1290-PRJ1066-CPH-Sewage-20_R2_001.fq.gz	DTU2017-1290-PRJ1066-CPH-Sewage-20	ERR3562850	DTU2017-1290-PRJ1066-CPH-Sewage-20	DTU2017-1290-PRJ1066-CPH-Sewage-20		wastewater metagenome	55.6406	12.5056	Denmark	Valby	Copenhagen	2015-12-28			DTU	wastewater
Illumina	paired	Illumina NextSeq 550	300	/home/projects/cge/data/cge_private/FOOD_seqdata/NextSeq/Nextseq_036/FoodQCPipeline_tmp/conc_fqs/DTU2017-1291-PRJ1066-CPH-Sewage-21_R1_001.fq.gz	/home/projects/cge/data/cge_private/FOOD_seqdata/NextSeq/Nextseq_036/FoodQCPipeline_tmp/conc_fqs/DTU2017-1291-PRJ1066-CPH-Sewage-21_R2_001.fq.gz	DTU2017-1291-PRJ1066-CPH-Sewage-21	ERR3562851	DTU2017-1291-PRJ1066-CPH-Sewage-21	DTU2017-1291-PRJ1066-CPH-Sewage-21		wastewater metagenome	55.6406	12.5056	Denmark	Valby	Copenhagen	2015-12-29			DTU	wastewater
Illumina	paired	Illumina NextSeq 550	300	/home/projects/cge/data/cge_private/FOOD_seqdata/NextSeq/Nextseq_036/FoodQCPipeline_tmp/conc_fqs/DTU2017-1292-PRJ1066-CPH-Sewage-22_R1_001.fq.gz	/home/projects/cge/data/cge_private/FOOD_seqdata/NextSeq/Nextseq_036/FoodQCPipeline_tmp/conc_fqs/DTU2017-1292-PRJ1066-CPH-Sewage-22_R2_001.fq.gz	DTU2017-1292-PRJ1066-CPH-Sewage-22	ERR3562852	DTU2017-1292-PRJ1066-CPH-Sewage-22	DTU2017-1292-PRJ1066-CPH-Sewage-22		wastewater metagenome	55.6406	12.5056	Denmark	Valby	Copenhagen	2016-01-05			DTU	wastewater
Illumina	paired	Illumina NextSeq 550	300	/home/projects/cge/data/cge_private/FOOD_seqdata/NextSeq/Nextseq_037/FoodQCPipeline_tmp/conc_fqs/DTU2017-1293-PRJ1066-CPH-Sewage-23_R1_001.fq.gz	/home/projects/cge/data/cge_private/FOOD_seqdata/NextSeq/Nextseq_037/FoodQCPipeline_tmp/conc_fqs/DTU2017-1293-PRJ1066-CPH-Sewage-23_R2_001.fq.gz	DTU2017-1293-PRJ1066-CPH-Sewage-23	ERR3562853	DTU2017-1293-PRJ1066-CPH-Sewage-23	DTU2017-1293-PRJ1066-CPH-Sewage-23		wastewater metagenome	55.6406	12.5056	Denmark	Valby	Copenhagen	2016-01-09			DTU	wastewater
Illumina	paired	Illumina NextSeq 550	300	/home/projects/cge/data/cge_private/FOOD_seqdata/NextSeq/Nextseq_037/FoodQCPipeline_tmp/conc_fqs/DTU2017-1294-PRJ1066-CPH-Sewage-24_R1_001.fq.gz	/home/projects/cge/data/cge_private/FOOD_seqdata/NextSeq/Nextseq_037/FoodQCPipeline_tmp/conc_fqs/DTU2017-1294-PRJ1066-CPH-Sewage-24_R2_001.fq.gz	DTU2017-1294-PRJ1066-CPH-Sewage-24	ERR3562854	DTU2017-1294-PRJ1066-CPH-Sewage-24	DTU2017-1294-PRJ1066-CPH-Sewage-24		wastewater metagenome	55.6406	12.5056	Denmark	Valby	Copenhagen	2016-01-11			DTU	wastewater
Illumina	paired	Illumina MiSeq	300	/home/projects/cge/data/cge_private/FOOD_seqdata/MiSeq/MiSeq_199/Raw_data/DTU2016-1772-PRJ1066-Metagenome-RD-25_S14_L001_R1_001.fastq.gz	/home/projects/cge/data/cge_private/FOOD_seqdata/MiSeq/MiSeq_199/Raw_data/DTU2016-1772-PRJ1066-Metagenome-RD-25_S14_L001_R2_001.fastq.gz	DTU2016-1772-PRJ1066-Metagenome-RD-25_S14_L001	ERR3562855	DTU2016-1772-PRJ1066-Metagenome-RD-25_S14_L001	DTU2016-1772-PRJ1066-Metagenome-RD-25_S14_L001		wastewater metagenome	55.6406	12.5056	Denmark	Valby	Copenhagen	2016-01-20			DTU	wastewater
Illumina	paired	Illumina MiSeq	300	/home/projects/cge/data/cge_private/FOOD_seqdata/MiSeq/MiSeq_199/Raw_data/DTU2016-1770-PRJ1066-Metagenome-RD-26_S12_L001_R1_001.fastq.gz	/home/projects/cge/data/cge_private/FOOD_seqdata/MiSeq/MiSeq_199/Raw_data/DTU2016-1770-PRJ1066-Metagenome-RD-26_S12_L001_R2_001.fastq.gz	DTU2016-1770-PRJ1066-Metagenome-RD-26_S12_L001	ERR3562856	DTU2016-1770-PRJ1066-Metagenome-RD-26_S12_L001	DTU2016-1770-PRJ1066-Metagenome-RD-26_S12_L001		wastewater metagenome	55.6406	12.5056	Denmark	Valby	Copenhagen	2016-01-22			DTU	wastewater
Illumina	paired	Illumina MiSeq	300	/home/projects/cge/data/cge_private/FOOD_seqdata/MiSeq/MiSeq_199/Raw_data/DTU2016-1768-PRJ1066-Metagenome-RD-27_S10_L001_R1_001.fastq.gz	/home/projects/cge/data/cge_private/FOOD_seqdata/MiSeq/MiSeq_199/Raw_data/DTU2016-1768-PRJ1066-Metagenome-RD-27_S10_L001_R2_001.fastq.gz	DTU2016-1768-PRJ1066-Metagenome-RD-27_S10_L001	ERR3562857	DTU2016-1768-PRJ1066-Metagenome-RD-27_S10_L001	DTU2016-1768-PRJ1066-Metagenome-RD-27_S10_L001		wastewater metagenome	55.6406	12.5056	Denmark	Valby	Copenhagen	2016-01-28			DTU	wastewater
Illumina	paired	Illumina MiSeq	300	/home/projects/cge/data/cge_private/FOOD_seqdata/MiSeq/MiSeq_199/Raw_data/DTU2016-1765-PRJ1066-Metagenome-RD-29_S7_L001_R1_001.fastq.gz	/home/projects/cge/data/cge_private/FOOD_seqdata/MiSeq/MiSeq_199/Raw_data/DTU2016-1765-PRJ1066-Metagenome-RD-29_S7_L001_R2_001.fastq.gz	DTU2016-1765-PRJ1066-Metagenome-RD-29_S7_L001	ERR3562858	DTU2016-1765-PRJ1066-Metagenome-RD-29_S7_L001	DTU2016-1765-PRJ1066-Metagenome-RD-29_S7_L001		wastewater metagenome	55.6406	12.5056	Denmark	Valby	Copenhagen	2016-02-08			DTU	wastewater
Illumina	paired	Illumina MiSeq	300	/home/projects/cge/data/cge_private/FOOD_seqdata/MiSeq/MiSeq_199/Raw_data/DTU2016-1764-PRJ1066-Metagenome-RD-30_S6_L001_R1_001.fastq.gz	/home/projects/cge/data/cge_private/FOOD_seqdata/MiSeq/MiSeq_199/Raw_data/DTU2016-1764-PRJ1066-Metagenome-RD-30_S6_L001_R2_001.fastq.gz	DTU2016-1764-PRJ1066-Metagenome-RD-30_S6_L001	ERR3562859	DTU2016-1764-PRJ1066-Metagenome-RD-30_S6_L001	DTU2016-1764-PRJ1066-Metagenome-RD-30_S6_L001		wastewater metagenome	55.6406	12.5056	Denmark	Valby	Copenhagen	2016-02-12			DTU	wastewater
Illumina	paired	Illumina MiSeq	300	/home/projects/cge/data/cge_private/FOOD_seqdata/MiSeq/MiSeq_195/Raw_data/DTU2016-1614-PRJ1066-RD-Sewage-31_S13_L001_R1_001.fastq.gz	/home/projects/cge/data/cge_private/FOOD_seqdata/MiSeq/MiSeq_195/Raw_data/DTU2016-1614-PRJ1066-RD-Sewage-31_S13_L001_R2_001.fastq.gz	DTU2016-1614-PRJ1066-RD-Sewage-31_S13_L001	ERR3562860	DTU2016-1614-PRJ1066-RD-Sewage-31_S13_L001	DTU2016-1614-PRJ1066-RD-Sewage-31_S13_L001		wastewater metagenome	55.6406	12.5056	Denmark	Valby	Copenhagen	2016-02-18			DTU	wastewater
Illumina	paired	Illumina NextSeq 550	300	/home/projects/cge/data/cge_private/FOOD_seqdata/NextSeq/Nextseq_037/FoodQCPipeline_tmp/conc_fqs/DTU2017-1295-PRJ1066-CPH-Sewage-33_R1_001.fq.gz	/home/projects/cge/data/cge_private/FOOD_seqdata/NextSeq/Nextseq_037/FoodQCPipeline_tmp/conc_fqs/DTU2017-1295-PRJ1066-CPH-Sewage-33_R2_001.fq.gz	DTU2017-1295-PRJ1066-CPH-Sewage-33	ERR3562861	DTU2017-1295-PRJ1066-CPH-Sewage-33	DTU2017-1295-PRJ1066-CPH-Sewage-33		wastewater metagenome	55.695	12.6147	Denmark	Amager	Copenhagen	2015-11-20			DTU	wastewater
Illumina	paired	Illumina NextSeq 550	300	/home/projects/cge/data/cge_private/FOOD_seqdata/NextSeq/Nextseq_037/FoodQCPipeline_tmp/conc_fqs/DTU2017-1296-PRJ1066-CPH-Sewage-34_R1_001.fq.gz	/home/projects/cge/data/cge_private/FOOD_seqdata/NextSeq/Nextseq_037/FoodQCPipeline_tmp/conc_fqs/DTU2017-1296-PRJ1066-CPH-Sewage-34_R2_001.fq.gz	DTU2017-1296-PRJ1066-CPH-Sewage-34	ERR3562862	DTU2017-1296-PRJ1066-CPH-Sewage-34	DTU2017-1296-PRJ1066-CPH-Sewage-34		wastewater metagenome	55.695	12.6147	Denmark	Amager	Copenhagen	2015-11-25			DTU	wastewater
Illumina	paired	Illumina NextSeq 550	300	/home/projects/cge/data/cge_private/FOOD_seqdata/NextSeq/Nextseq_037/FoodQCPipeline_tmp/conc_fqs/DTU2017-1297-PRJ1066-CPH-Sewage-35_R1_001.fq.gz	/home/projects/cge/data/cge_private/FOOD_seqdata/NextSeq/Nextseq_037/FoodQCPipeline_tmp/conc_fqs/DTU2017-1297-PRJ1066-CPH-Sewage-35_R2_001.fq.gz	DTU2017-1297-PRJ1066-CPH-Sewage-35	ERR3562863	DTU2017-1297-PRJ1066-CPH-Sewage-35	DTU2017-1297-PRJ1066-CPH-Sewage-35		wastewater metagenome	55.695	12.6147	Denmark	Amager	Copenhagen	2015-12-01			DTU	wastewater
Illumina	paired	Illumina NextSeq 550	300	/home/projects/cge/data/cge_private/FOOD_seqdata/NextSeq/Nextseq_037/FoodQCPipeline_tmp/conc_fqs/DTU2017-1298-PRJ1066-CPH-Sewage-36_R1_001.fq.gz	/home/projects/cge/data/cge_private/FOOD_seqdata/NextSeq/Nextseq_037/FoodQCPipeline_tmp/conc_fqs/DTU2017-1298-PRJ1066-CPH-Sewage-36_R2_001.fq.gz	DTU2017-1298-PRJ1066-CPH-Sewage-36	ERR3562864	DTU2017-1298-PRJ1066-CPH-Sewage-36	DTU2017-1298-PRJ1066-CPH-Sewage-36		wastewater metagenome	55.695	12.6147	Denmark	Amager	Copenhagen	2015-12-09			DTU	wastewater
Illumina	paired	Illumina NextSeq 550	300	/home/projects/cge/data/cge_private/FOOD_seqdata/NextSeq/NextSeq_042/FoodQCPipeline_tmp/conc_fqs/DTU2017-1299-PRJ1066-CPH-Sewage-37_R1_001.fq.gz	/home/projects/cge/data/cge_private/FOOD_seqdata/NextSeq/NextSeq_042/FoodQCPipeline_tmp/conc_fqs/DTU2017-1299-PRJ1066-CPH-Sewage-37_R2_001.fq.gz	DTU2017-1299-PRJ1066-CPH-Sewage-37	ERR3562865	DTU2017-1299-PRJ1066-CPH-Sewage-37	DTU2017-1299-PRJ1066-CPH-Sewage-37		wastewater metagenome	55.695	12.6147	Denmark	Amager	Copenhagen	2015-12-15			DTU	wastewater
Illumina	paired	Illumina NextSeq 550	300	/home/projects/cge/data/cge_private/FOOD_seqdata/NextSeq/NextSeq_042/FoodQCPipeline_tmp/conc_fqs/DTU2017-1300-PRJ1066-CPH-Sewage-38_R1_001.fq.gz	/home/projects/cge/data/cge_private/FOOD_seqdata/NextSeq/NextSeq_042/FoodQCPipeline_tmp/conc_fqs/DTU2017-1300-PRJ1066-CPH-Sewage-38_R2_001.fq.gz	DTU2017-1300-PRJ1066-CPH-Sewage-38	ERR3562866	DTU2017-1300-PRJ1066-CPH-Sewage-38	DTU2017-1300-PRJ1066-CPH-Sewage-38		wastewater metagenome	55.695	12.6147	Denmark	Amager	Copenhagen	2015-12-17			DTU	wastewater
Illumina	paired	Illumina NextSeq 550	300	/home/projects/cge/data/cge_private/FOOD_seqdata/NextSeq/NextSeq_042/FoodQCPipeline_tmp/conc_fqs/DTU2017-1301-PRJ1066-CPH-Sewage-39_R1_001.fq.gz	/home/projects/cge/data/cge_private/FOOD_seqdata/NextSeq/NextSeq_042/FoodQCPipeline_tmp/conc_fqs/DTU2017-1301-PRJ1066-CPH-Sewage-39_R2_001.fq.gz	DTU2017-1301-PRJ1066-CPH-Sewage-39	ERR3562867	DTU2017-1301-PRJ1066-CPH-Sewage-39	DTU2017-1301-PRJ1066-CPH-Sewage-39		wastewater metagenome	55.695	12.6147	Denmark	Amager	Copenhagen	2015-12-21			DTU	wastewater
Illumina	paired	Illumina NextSeq 550	300	/home/projects/cge/data/cge_private/FOOD_seqdata/NextSeq/NextSeq_042/FoodQCPipeline_tmp/conc_fqs/DTU2017-1302-PRJ1066-CPH-Sewage-40_R1_001.fq.gz	/home/projects/cge/data/cge_private/FOOD_seqdata/NextSeq/NextSeq_042/FoodQCPipeline_tmp/conc_fqs/DTU2017-1302-PRJ1066-CPH-Sewage-40_R2_001.fq.gz	DTU2017-1302-PRJ1066-CPH-Sewage-40	ERR3562868	DTU2017-1302-PRJ1066-CPH-Sewage-40	DTU2017-1302-PRJ1066-CPH-Sewage-40		wastewater metagenome	55.695	12.6147	Denmark	Amager	Copenhagen	2015-12-28			DTU	wastewater
Illumina	paired	Illumina NextSeq 550	300	/home/projects/cge/data/cge_private/FOOD_seqdata/NextSeq/NextSeq_042/FoodQCPipeline_tmp/conc_fqs/DTU2017-1303-PRJ1066-CPH-Sewage-41_R1_001.fq.gz	/home/projects/cge/data/cge_private/FOOD_seqdata/NextSeq/NextSeq_042/FoodQCPipeline_tmp/conc_fqs/DTU2017-1303-PRJ1066-CPH-Sewage-41_R2_001.fq.gz	DTU2017-1303-PRJ1066-CPH-Sewage-41	ERR3562869	DTU2017-1303-PRJ1066-CPH-Sewage-41	DTU2017-1303-PRJ1066-CPH-Sewage-41		wastewater metagenome	55.695	12.6147	Denmark	Amager	Copenhagen	2015-12-29			DTU	wastewater
Illumina	paired	Illumina NextSeq 550	300	/home/projects/cge/data/cge_private/FOOD_seqdata/NextSeq/NextSeq_042/FoodQCPipeline_tmp/conc_fqs/DTU2017-1304-PRJ1066-CPH-Sewage-42_R1_001.fq.gz	/home/projects/cge/data/cge_private/FOOD_seqdata/NextSeq/NextSeq_042/FoodQCPipeline_tmp/conc_fqs/DTU2017-1304-PRJ1066-CPH-Sewage-42_R2_001.fq.gz	DTU2017-1304-PRJ1066-CPH-Sewage-42	ERR3562870	DTU2017-1304-PRJ1066-CPH-Sewage-42	DTU2017-1304-PRJ1066-CPH-Sewage-42		wastewater metagenome	55.695	12.6147	Denmark	Amager	Copenhagen	2016-01-05			DTU	wastewater
Illumina	paired	Illumina MiSeq	300	/home/projects/cge/data/cge_private/FOOD_seqdata/MiSeq/MiSeq_199/Raw_data/DTU2016-1774-PRJ1066-Metagenome-RL-44_S16_L001_R1_001.fastq.gz	/home/projects/cge/data/cge_private/FOOD_seqdata/MiSeq/MiSeq_199/Raw_data/DTU2016-1774-PRJ1066-Metagenome-RL-44_S16_L001_R2_001.fastq.gz	DTU2016-1774-PRJ1066-Metagenome-RL-44_S16_L001	ERR3562871	DTU2016-1774-PRJ1066-Metagenome-RL-44_S16_L001	DTU2016-1774-PRJ1066-Metagenome-RL-44_S16_L001		wastewater metagenome	55.695	12.6147	Denmark	Amager	Copenhagen	2016-01-11			DTU	wastewater
Illumina	paired	Illumina MiSeq	300	/home/projects/cge/data/cge_private/FOOD_seqdata/MiSeq/MiSeq_199/Raw_data/DTU2016-1773-PRJ1066-Metagenome-RL-45_S15_L001_R1_001.fastq.gz	/home/projects/cge/data/cge_private/FOOD_seqdata/MiSeq/MiSeq_199/Raw_data/DTU2016-1773-PRJ1066-Metagenome-RL-45_S15_L001_R2_001.fastq.gz	DTU2016-1773-PRJ1066-Metagenome-RL-45_S15_L001	ERR3562872	DTU2016-1773-PRJ1066-Metagenome-RL-45_S15_L001	DTU2016-1773-PRJ1066-Metagenome-RL-45_S15_L001		wastewater metagenome	55.695	12.6147	Denmark	Amager	Copenhagen	2016-01-17			DTU	wastewater
Illumina	paired	Illumina MiSeq	300	/home/projects/cge/data/cge_private/FOOD_seqdata/MiSeq/MiSeq_199/Raw_data/DTU2016-1767-PRJ1066-Metagenome-RL-46_S9_L001_R1_001.fastq.gz	/home/projects/cge/data/cge_private/FOOD_seqdata/MiSeq/MiSeq_199/Raw_data/DTU2016-1767-PRJ1066-Metagenome-RL-46_S9_L001_R2_001.fastq.gz	DTU2016-1767-PRJ1066-Metagenome-RL-46_S9_L001	ERR3562873	DTU2016-1767-PRJ1066-Metagenome-RL-46_S9_L001	DTU2016-1767-PRJ1066-Metagenome-RL-46_S9_L001		wastewater metagenome	55.695	12.6147	Denmark	Amager	Copenhagen	2016-01-28			DTU	wastewater
