new_complete_name	library_id	unique_sample_id	batch_name	country	country_alpha2	country_alpha3	city	latitude	longtitude	batch_abbr	year	collection_date	isolation_source	organism	ena_sample_acc	ena_experiment_acc	ena_run_acc	instrument_model
DTU_2016_11_3_MG_AUS-18a_2	3	2016_pil_aus_02	GS pilot 2016	Australia	AU	AUS	Melbourne	-37.81	144.96	pil	16	8/2/2016	wastewater	wastewater metagenome	ERS2520869	ERX2624035	ERR2607379	Illumina HiSeq 3000
DTU_2016_12_4_MG_AUS-18a_3	4	2016_pil_aus_02	GS pilot 2016	Australia	AU	AUS	Melbourne	-37.81	144.96	pil	16	8/2/2016	wastewater	wastewater metagenome	ERS2520870	ERX2624036	ERR2607380	Illumina HiSeq 3000
DTU_2016_13_5_MG_AUS-18a_4	5	2016_pil_aus_02	GS pilot 2016	Australia	AU	AUS	Melbourne	-37.81	144.96	pil	16	8/2/2016	wastewater	wastewater metagenome	ERS2520871	ERX2624037	ERR2607381	Illumina HiSeq 3000
DTU_2016_14_1_MG_AUT-70	1	2016_pil_aut_01	GS pilot 2016	Austria	AT	AUT	Vienna	48.21	16.37	pil	16	2/16/2016	wastewater	wastewater metagenome	ERS2520877	ERX2624043	ERR2607387	Illumina HiSeq 3000
DTU_2016_15_2_MG_AUT-70_1	2	2016_pil_aut_01	GS pilot 2016	Austria	AT	AUT	Vienna	48.21	16.37	pil	16	2/16/2016	wastewater	wastewater metagenome	ERS2520874	ERX2624040	ERR2607384	Illumina HiSeq 3000
DTU_2016_16_3_MG_AUT-70_2	3	2016_pil_aut_01	GS pilot 2016	Austria	AT	AUT	Vienna	48.21	16.37	pil	16	2/16/2016	wastewater	wastewater metagenome	ERS2520875	ERX2624041	ERR2607385	Illumina HiSeq 3000
DTU_2016_17_4_MG_AUT-70_3	4	2016_pil_aut_01	GS pilot 2016	Austria	AT	AUT	Vienna	48.21	16.37	pil	16	2/16/2016	wastewater	wastewater metagenome	ERS2520876	ERX2624042	ERR2607386	Illumina HiSeq 3000
DTU_2016_18_1_MG_BGR-66	1	2016_pil_bgr_01	GS pilot 2016	Bulgaria	BG	BGR	Sofia	42.7	23.32	pil	16	2/15/2016	wastewater	wastewater metagenome	ERS2520881	ERX2624047	ERR2607391	Illumina HiSeq 3000
DTU_2016_19_2_MG_BGR-66_1	2	2016_pil_bgr_01	GS pilot 2016	Bulgaria	BG	BGR	Sofia	42.7	23.32	pil	16	2/15/2016	wastewater	wastewater metagenome	ERS2520878	ERX2624044	ERR2607388	Illumina HiSeq 3000
DTU_2016_20_3_MG_BGR-66_2	3	2016_pil_bgr_01	GS pilot 2016	Bulgaria	BG	BGR	Sofia	42.7	23.32	pil	16	2/15/2016	wastewater	wastewater metagenome	ERS2520879	ERX2624045	ERR2607389	Illumina HiSeq 3000
DTU_2016_21_4_MG_BGR-66_3	4	2016_pil_bgr_01	GS pilot 2016	Bulgaria	BG	BGR	Sofia	42.7	23.32	pil	16	2/15/2016	wastewater	wastewater metagenome	ERS2520880	ERX2624046	ERR2607390	Illumina HiSeq 3000
DTU_2016_22_1_MG_BRA-53	1	2016_pil_bra_01	GS pilot 2016	Brazil	BR	BRA	Belem	-1.45	-48.47	pil	16	2/16/2016	wastewater	wastewater metagenome	ERS2520887	ERX2624053	ERR2607397	Illumina HiSeq 3000
DTU_2016_23_2_MG_BRA-53_1	2	2016_pil_bra_01	GS pilot 2016	Brazil	BR	BRA	Belem	-1.45	-48.47	pil	16	2/16/2016	wastewater	wastewater metagenome	ERS2520882	ERX2624048	ERR2607392	Illumina HiSeq 3000
DTU_2016_24_3_MG_BRA-53_2	3	2016_pil_bra_01	GS pilot 2016	Brazil	BR	BRA	Belem	-1.45	-48.47	pil	16	2/16/2016	wastewater	wastewater metagenome	ERS2520883	ERX2624049	ERR2607393	Illumina HiSeq 3000
DTU_2016_25_1_MG_BRA-53a	1	2016_pil_bra_02	GS pilot 2016	Brazil	BR	BRA	Belem	-1.45	-48.47	pil	16	2/15/2016	wastewater	wastewater metagenome	ERS2520886	ERX2624052	ERR2607396	Illumina HiSeq 3000
DTU_2016_26_2_MG_BRA-53a_1	2	2016_pil_bra_02	GS pilot 2016	Brazil	BR	BRA	Belem	-1.45	-48.47	pil	16	2/15/2016	wastewater	wastewater metagenome	ERS2520884	ERX2624050	ERR2607394	Illumina HiSeq 3000
DTU_2016_27_3_MG_BRA-53a_2	3	2016_pil_bra_02	GS pilot 2016	Brazil	BR	BRA	Belem	-1.45	-48.47	pil	16	2/15/2016	wastewater	wastewater metagenome	ERS2520885	ERX2624051	ERR2607395	Illumina HiSeq 3000
DTU_2016_28_1_MG_BWA-19	1	2016_pil_bwa_01	GS pilot 2016	Botswana	BW	BWA	Palapye	-22.54	27.12	pil	16	1/25/2016	wastewater	wastewater metagenome	ERS2520891	ERX2624057	ERR2607401	Illumina HiSeq 3000
DTU_2016_29_2_MG_BWA-19_1	2	2016_pil_bwa_01	GS pilot 2016	Botswana	BW	BWA	Palapye	-22.54	27.12	pil	16	1/25/2016	wastewater	wastewater metagenome	ERS2520888	ERX2624054	ERR2607398	Illumina HiSeq 3000
DTU_2016_30_3_MG_BWA-19_2	3	2016_pil_bwa_01	GS pilot 2016	Botswana	BW	BWA	Palapye	-22.54	27.12	pil	16	1/25/2016	wastewater	wastewater metagenome	ERS2520889	ERX2624055	ERR2607399	Illumina HiSeq 3000
DTU_2016_31_4_MG_BWA-19_3	4	2016_pil_bwa_01	GS pilot 2016	Botswana	BW	BWA	Palapye	-22.54	27.12	pil	16	1/25/2016	wastewater	wastewater metagenome	ERS2520890	ERX2624056	ERR2607400	Illumina HiSeq 3000
DTU_2016_32_1_MG_CAN-22	1	2016_pil_can_01	GS pilot 2016	Canada	CA	CAN	Regina	50.45	-104.62	pil	16	1/26/2016	wastewater	wastewater metagenome	ERS2520905	ERX2624071	ERR2607415	Illumina HiSeq 3000
DTU_2016_33_2_MG_CAN-22_1	2	2016_pil_can_01	GS pilot 2016	Canada	CA	CAN	Regina	50.45	-104.62	pil	16	1/26/2016	wastewater	wastewater metagenome	ERS2520892	ERX2624058	ERR2607402	Illumina HiSeq 3000
DTU_2016_34_3_MG_CAN-22_2	3	2016_pil_can_01	GS pilot 2016	Canada	CA	CAN	Regina	50.45	-104.62	pil	16	1/26/2016	wastewater	wastewater metagenome	ERS2520893	ERX2624059	ERR2607403	Illumina HiSeq 3000
DTU_2016_35_1_MG_CAN-22a	1	2016_pil_can_02	GS pilot 2016	Canada	CA	CAN	Calgary	51.05	-114.06	pil	16	1/2/2016	wastewater	wastewater metagenome	ERS2520898	ERX2624064	ERR2607408	Illumina HiSeq 3000
DTU_2016_36_2_MG_CAN-22a_1	2	2016_pil_can_02	GS pilot 2016	Canada	CA	CAN	Calgary	51.05	-114.06	pil	16	1/2/2016	wastewater	wastewater metagenome	ERS2520894	ERX2624060	ERR2607404	Illumina HiSeq 3000
DTU_2016_37_3_MG_CAN-22a_2	3	2016_pil_can_02	GS pilot 2016	Canada	CA	CAN	Calgary	51.05	-114.06	pil	16	1/2/2016	wastewater	wastewater metagenome	ERS2520895	ERX2624061	ERR2607405	Illumina HiSeq 3000
DTU_2016_38_4_MG_CAN-22a_3	4	2016_pil_can_02	GS pilot 2016	Canada	CA	CAN	Calgary	51.05	-114.06	pil	16	1/2/2016	wastewater	wastewater metagenome	ERS2520896	ERX2624062	ERR2607406	Illumina HiSeq 3000
DTU_2016_39_5_MG_CAN-22a_4	5	2016_pil_can_02	GS pilot 2016	Canada	CA	CAN	Calgary	51.05	-114.06	pil	16	1/2/2016	wastewater	wastewater metagenome	ERS2520897	ERX2624063	ERR2607407	Illumina HiSeq 3000
DTU_2016_40_1_MG_CAN-22b	1	2016_pil_can_03	GS pilot 2016	Canada	CA	CAN	Toronto	43.65	-79.39	pil	16	1/2/2016	wastewater	wastewater metagenome	ERS2520903	ERX2624069	ERR2607413	Illumina HiSeq 3000
DTU_2016_41_2_MG_CAN-22b_1	2	2016_pil_can_03	GS pilot 2016	Canada	CA	CAN	Toronto	43.65	-79.39	pil	16	1/2/2016	wastewater	wastewater metagenome	ERS2520899	ERX2624065	ERR2607409	Illumina HiSeq 3000
DTU_2016_42_3_MG_CAN-22b_2	3	2016_pil_can_03	GS pilot 2016	Canada	CA	CAN	Toronto	43.65	-79.39	pil	16	1/2/2016	wastewater	wastewater metagenome	ERS2520900	ERX2624066	ERR2607410	Illumina HiSeq 3000
DTU_2016_43_4_MG_CAN-22b_3	4	2016_pil_can_03	GS pilot 2016	Canada	CA	CAN	Toronto	43.65	-79.39	pil	16	1/2/2016	wastewater	wastewater metagenome	ERS2520901	ERX2624067	ERR2607411	Illumina HiSeq 3000
DTU_2016_44_5_MG_CAN-22b_4	5	2016_pil_can_03	GS pilot 2016	Canada	CA	CAN	Toronto	43.65	-79.39	pil	16	1/2/2016	wastewater	wastewater metagenome	ERS2520902	ERX2624068	ERR2607412	Illumina HiSeq 3000
DTU_2016_45_1_MG_CAN-22c	1	2016_pil_can_04	GS pilot 2016	Canada	CA	CAN	Ottawa	45.42	-75.69	pil	16	1/26/2016	wastewater	wastewater metagenome	ERS2520904	ERX2624070	ERR2607414	Illumina HiSeq 3000
DTU_2016_46_1_MG_CHE-67	1	2016_pil_che_01	GS pilot 2016	Switzerland	CH	CHE	Liebefeld	46.93	7.42	pil	16	1/27/2016	wastewater	wastewater metagenome	ERS2520912	ERX2624078	ERR2607422	Illumina HiSeq 3000
DTU_2016_47_2_MG_CHE-67_1	2	2016_pil_che_01	GS pilot 2016	Switzerland	CH	CHE	Liebefeld	46.93	7.42	pil	16	1/27/2016	wastewater	wastewater metagenome	ERS2520906	ERX2624072	ERR2607416	Illumina HiSeq 3000
DTU_2016_48_3_MG_CHE-67_2	3	2016_pil_che_01	GS pilot 2016	Switzerland	CH	CHE	Liebefeld	46.93	7.42	pil	16	1/27/2016	wastewater	wastewater metagenome	ERS2520907	ERX2624073	ERR2607417	Illumina HiSeq 3000
DTU_2016_49_4_MG_CHE-67_3	4	2016_pil_che_01	GS pilot 2016	Switzerland	CH	CHE	Liebefeld	46.93	7.42	pil	16	1/27/2016	wastewater	wastewater metagenome	ERS2520908	ERX2624074	ERR2607418	Illumina HiSeq 3000
DTU_2016_50_5_MG_CHE-67_4	5	2016_pil_che_01	GS pilot 2016	Switzerland	CH	CHE	Liebefeld	46.93	7.42	pil	16	1/27/2016	wastewater	wastewater metagenome	ERS2520909	ERX2624075	ERR2607419	Illumina HiSeq 3000
DTU_2016_51_6_MG_CHE-67_5	6	2016_pil_che_01	GS pilot 2016	Switzerland	CH	CHE	Liebefeld	46.93	7.42	pil	16	1/27/2016	wastewater	wastewater metagenome	ERS2520910	ERX2624076	ERR2607420	Illumina HiSeq 3000
DTU_2016_52_7_MG_CHE-67_6	7	2016_pil_che_01	GS pilot 2016	Switzerland	CH	CHE	Liebefeld	46.93	7.42	pil	16	1/27/2016	wastewater	wastewater metagenome	ERS2520911	ERX2624077	ERR2607421	Illumina HiSeq 3000
DTU_2016_53_1_MG_CHN-64	1	2016_pil_chn_01	GS pilot 2016	China	CN	CHN	Guangzhou	23.13	113.26	pil	16	1/28/2016	wastewater	wastewater metagenome	ERS2520913	ERX2624079	ERR2607423	Illumina HiSeq 3000
DTU_2016_54_1_MG_CIV-13	1	2016_pil_civ_01	GS pilot 2016	Cote d'Ivoire	CI	CIV	Abidjan	5.32	-4.02	pil	16	1/25/2016	wastewater	wastewater metagenome	ERS2520916	ERX2624082	ERR2607426	Illumina HiSeq 3000
DTU_2016_55_2_MG_CIV-13_1	2	2016_pil_civ_01	GS pilot 2016	Cote d'Ivoire	CI	CIV	Abidjan	5.32	-4.02	pil	16	1/25/2016	wastewater	wastewater metagenome	ERS2520914	ERX2624080	ERR2607424	Illumina HiSeq 3000
DTU_2016_56_3_MG_CIV-13_2	3	2016_pil_civ_01	GS pilot 2016	Cote d'Ivoire	CI	CIV	Abidjan	5.32	-4.02	pil	16	1/25/2016	wastewater	wastewater metagenome	ERS2520915	ERX2624081	ERR2607425	Illumina HiSeq 3000
DTU_2016_58_1_MG_CZE-23	1	2016_pil_cze_01	GS pilot 2016	Czech Republic	CZ	CZE	Brno	49.19	16.61	pil	16	1/2/2016	wastewater	wastewater metagenome	ERS2520920	ERX2624086	ERR2607430	Illumina HiSeq 3000
DTU_2016_59_2_MG_CZE-23_1	2	2016_pil_cze_01	GS pilot 2016	Czech Republic	CZ	CZE	Brno	49.19	16.61	pil	16	1/2/2016	wastewater	wastewater metagenome	ERS2520918	ERX2624084	ERR2607428	Illumina HiSeq 3000
DTU_2016_60_3_MG_CZE-23_2	3	2016_pil_cze_01	GS pilot 2016	Czech Republic	CZ	CZE	Brno	49.19	16.61	pil	16	1/2/2016	wastewater	wastewater metagenome	ERS2520919	ERX2624085	ERR2607429	Illumina HiSeq 3000
DTU_2016_61_1_MG_DEU-27	1	2016_pil_deu_01	GS pilot 2016	Germany	DE	DEU	Berlin	52.52	13.39	pil	16	8/2/2016	wastewater	wastewater metagenome	ERS2520925	ERX2624091	ERR2607435	Illumina HiSeq 3000
DTU_2016_62_2_MG_DEU-27_1	2	2016_pil_deu_01	GS pilot 2016	Germany	DE	DEU	Berlin	52.52	13.39	pil	16	8/2/2016	wastewater	wastewater metagenome	ERS2520921	ERX2624087	ERR2607431	Illumina HiSeq 3000
DTU_2016_64_4_MG_DEU-27_3	4	2016_pil_deu_01	GS pilot 2016	Germany	DE	DEU	Berlin	52.52	13.39	pil	16	8/2/2016	wastewater	wastewater metagenome	ERS2520923	ERX2624089	ERR2607433	Illumina HiSeq 3000
DTU_2016_65_5_MG_DEU-27_4	5	2016_pil_deu_01	GS pilot 2016	Germany	DE	DEU	Berlin	52.52	13.39	pil	16	8/2/2016	wastewater	wastewater metagenome	ERS2520924	ERX2624090	ERR2607434	Illumina HiSeq 3000
DTU_2016_66_1_MG_DNK_71_RL	1	2016_pil_dnk_01	GS pilot 2016	Denmark	DK	DNK	Lynetten	55.7	12.62	pil	16	2/3/2016	wastewater	wastewater metagenome	ERS2520928	ERX2624094	ERR2607438	Illumina HiSeq 3000
DTU_2016_67_1_MG_DNK-71_RA	1	2016_pil_dnk_02	GS pilot 2016	Denmark	DK	DNK	Avedore	55.63	12.46	pil	16	2/3/2016	wastewater	wastewater metagenome	ERS2520926	ERX2624092	ERR2607436	Illumina HiSeq 3000
DTU_2016_68_1_MG_DNK-71_RD	1	2016_pil_dnk_03	GS pilot 2016	Denmark	DK	DNK	Damhusaaen	55.64	12.5	pil	16	2/3/2016	wastewater	wastewater metagenome	ERS2520927	ERX2624093	ERR2607437	Illumina HiSeq 3000
DTU_2016_69_1_MG_ECU-14	1	2016_pil_ecu_01	GS pilot 2016	Ecuador	EC	ECU	Quito	-0.22	-78.51	pil	16	1/2/2016	wastewater	wastewater metagenome	ERS2520931	ERX2624097	ERR2607441	Illumina HiSeq 3000
DTU_2016_70_1_MG_ECU-14a	1	2016_pil_ecu_02	GS pilot 2016	Ecuador	EC	ECU	Galapagos	-0.63	-90.36	pil	16	6/2/2016	wastewater	wastewater metagenome	ERS2520930	ERX2624096	ERR2607440	Illumina HiSeq 3000
DTU_2016_71_2_MG_ECU-14a_1	2	2016_pil_ecu_02	GS pilot 2016	Ecuador	EC	ECU	Galapagos	-0.63	-90.36	pil	16	6/2/2016	wastewater	wastewater metagenome	ERS2520929	ERX2624095	ERR2607439	Illumina HiSeq 3000
DTU_2016_72_1_MG_ESP-75	1	2016_pil_esp_01	GS pilot 2016	Spain	ES	ESP	Barcelona	41.38	2.18	pil	16	10/2/2016	wastewater	wastewater metagenome	ERS2520937	ERX2624103	ERR2607447	Illumina HiSeq 3000
DTU_2016_73_2_MG_ESP-75_1	2	2016_pil_esp_01	GS pilot 2016	Spain	ES	ESP	Barcelona	41.38	2.18	pil	16	10/2/2016	wastewater	wastewater metagenome	ERS2520932	ERX2624098	ERR2607442	Illumina HiSeq 3000
DTU_2016_74_3_MG_ESP-75_2	3	2016_pil_esp_01	GS pilot 2016	Spain	ES	ESP	Barcelona	41.38	2.18	pil	16	10/2/2016	wastewater	wastewater metagenome	ERS2520933	ERX2624099	ERR2607443	Illumina HiSeq 3000
DTU_2016_75_4_MG_ESP-75_3	4	2016_pil_esp_01	GS pilot 2016	Spain	ES	ESP	Barcelona	41.38	2.18	pil	16	10/2/2016	wastewater	wastewater metagenome	ERS2520934	ERX2624100	ERR2607444	Illumina HiSeq 3000
DTU_2016_76_5_MG_ESP-75_4	5	2016_pil_esp_01	GS pilot 2016	Spain	ES	ESP	Barcelona	41.38	2.18	pil	16	10/2/2016	wastewater	wastewater metagenome	ERS2520935	ERX2624101	ERR2607445	Illumina HiSeq 3000
DTU_2016_77_6_MG_ESP-75_5	6	2016_pil_esp_01	GS pilot 2016	Spain	ES	ESP	Barcelona	41.38	2.18	pil	16	10/2/2016	wastewater	wastewater metagenome	ERS2520936	ERX2624102	ERR2607446	Illumina HiSeq 3000
DTU_2016_78_1_MG_ETH-24	1	2016_pil_eth_01	GS pilot 2016	Ethiopia	ET	ETH	Addis Ababa	9	38.75	pil	16	1/2/2016	wastewater	wastewater metagenome	ERS2520938	ERX2624104	ERR2607448	Illumina HiSeq 3000
DTU_2016_79_1_MG_FIN-25	1	2016_pil_fin_01	GS pilot 2016	Finland	FI	FIN	Helsinki	60.17	24.94	pil	16	1/26/2016	wastewater	wastewater metagenome	ERS2520941	ERX2624107	ERR2607451	Illumina HiSeq 3000
DTU_2016_80_2_MG_FIN-25_1	2	2016_pil_fin_01	GS pilot 2016	Finland	FI	FIN	Helsinki	60.17	24.94	pil	16	1/26/2016	wastewater	wastewater metagenome	ERS2520939	ERX2624105	ERR2607449	Illumina HiSeq 3000
DTU_2016_81_3_MG_FIN-25_2	3	2016_pil_fin_01	GS pilot 2016	Finland	FI	FIN	Helsinki	60.17	24.94	pil	16	1/26/2016	wastewater	wastewater metagenome	ERS2520940	ERX2624106	ERR2607450	Illumina HiSeq 3000
DTU_2016_82_1_MG_GEO-59	1	2016_pil_geo_01	GS pilot 2016	Georgia	GE	GEO	Tbilisi	41.69	44.8	pil	16	1/25/2016	wastewater	wastewater metagenome	ERS2520945	ERX2624111	ERR2607455	Illumina HiSeq 3000
DTU_2016_83_2_MG_GEO-59_1	2	2016_pil_geo_01	GS pilot 2016	Georgia	GE	GEO	Tbilisi	41.69	44.8	pil	16	1/25/2016	wastewater	wastewater metagenome	ERS2520942	ERX2624108	ERR2607452	Illumina HiSeq 3000
DTU_2016_84_3_MG_GEO-59_2	3	2016_pil_geo_01	GS pilot 2016	Georgia	GE	GEO	Tbilisi	41.69	44.8	pil	16	1/25/2016	wastewater	wastewater metagenome	ERS2520943	ERX2624109	ERR2607453	Illumina HiSeq 3000
DTU_2016_85_4_MG_GEO-59_3	4	2016_pil_geo_01	GS pilot 2016	Georgia	GE	GEO	Tbilisi	41.69	44.8	pil	16	1/25/2016	wastewater	wastewater metagenome	ERS2520944	ERX2624110	ERR2607454	Illumina HiSeq 3000
DTU_2016_86_1_MG_GHA-4	1	2016_pil_gha_01	GS pilot 2016	Ghana	GH	GHA	Tamale	9.41	-0.84	pil	16	1/30/2016	wastewater	wastewater metagenome	ERS2520946	ERX2624112	ERR2607456	Illumina HiSeq 3000
DTU_2016_87_1_MG_GMB-10	1	2016_pil_gmb_01	GS pilot 2016	Gambia	GM	GMB	Banjul	13.44	-16.56	pil	16	1/28/2016	wastewater	wastewater metagenome	ERS2520947	ERX2624113	ERR2607457	Illumina HiSeq 3000
DTU_2016_88_1_MG_HRV-68	1	2016_pil_hrv_01	GS pilot 2016	Croatia	HR	HRV	Zagreb	45.81	15.98	pil	16	1/2/2016	wastewater	wastewater metagenome	ERS2520952	ERX2624118	ERR2607462	Illumina HiSeq 3000
DTU_2016_89_2_MG_HRV-68_1	2	2016_pil_hrv_01	GS pilot 2016	Croatia	HR	HRV	Zagreb	45.81	15.98	pil	16	1/2/2016	wastewater	wastewater metagenome	ERS2520948	ERX2624114	ERR2607458	Illumina HiSeq 3000
DTU_2016_90_3_MG_HRV-68_2	3	2016_pil_hrv_01	GS pilot 2016	Croatia	HR	HRV	Zagreb	45.81	15.98	pil	16	1/2/2016	wastewater	wastewater metagenome	ERS2520949	ERX2624115	ERR2607459	Illumina HiSeq 3000
DTU_2016_91_4_MG_HRV-68_3	4	2016_pil_hrv_01	GS pilot 2016	Croatia	HR	HRV	Zagreb	45.81	15.98	pil	16	1/2/2016	wastewater	wastewater metagenome	ERS2520950	ERX2624116	ERR2607460	Illumina HiSeq 3000
DTU_2016_92_5_MG_HRV-68_4	5	2016_pil_hrv_01	GS pilot 2016	Croatia	HR	HRV	Zagreb	45.81	15.98	pil	16	1/2/2016	wastewater	wastewater metagenome	ERS2520951	ERX2624117	ERR2607461	Illumina HiSeq 3000
DTU_2016_93_1_MG_HUN-61	1	2016_pil_hun_01	GS pilot 2016	Hungary	HU	HUN	Budapest	47.48	19.15	pil	16	2/2/2016	wastewater	wastewater metagenome	ERS2520953	ERX2624119	ERR2607463	Illumina HiSeq 3000
DTU_2016_94_1_MG_IND-11	1	2016_pil_ind_01	GS pilot 2016	India	IN	IND	Cochin	10.15	76.39	pil	16	1/27/2016	wastewater	wastewater metagenome	ERS2520956	ERX2624122	ERR2607466	Illumina HiSeq 3000
DTU_2016_96_3_MG_IND-11_2	3	2016_pil_ind_01	GS pilot 2016	India	IN	IND	Cochin	10.15	76.39	pil	16	1/27/2016	wastewater	wastewater metagenome	ERS2520955	ERX2624121	ERR2607465	Illumina HiSeq 3000
DTU_2016_97_1_MG_IRL-69	1	2016_pil_irl_01	GS pilot 2016	Ireland	IE	IRL	Dublin	53.35	-6.26	pil	16	10/2/2016	wastewater	wastewater metagenome	ERS2520959	ERX2624125	ERR2607469	Illumina HiSeq 3000
DTU_2016_98_2_MG_IRL-69_1	2	2016_pil_irl_01	GS pilot 2016	Ireland	IE	IRL	Dublin	53.35	-6.26	pil	16	10/2/2016	wastewater	wastewater metagenome	ERS2520957	ERX2624123	ERR2607467	Illumina HiSeq 3000
DTU_2016_99_3_MG_IRL-69_2	3	2016_pil_irl_01	GS pilot 2016	Ireland	IE	IRL	Dublin	53.35	-6.26	pil	16	10/2/2016	wastewater	wastewater metagenome	ERS2520958	ERX2624124	ERR2607468	Illumina HiSeq 3000
DTU_2016_100_1_MG_IRN-12	1	2016_pil_irn_01	GS pilot 2016	Iran	IR	IRN	Tehran	35.7	51.4	pil	16	2/2/2016	wastewater	wastewater metagenome	ERS2520962	ERX2624128	ERR2607472	Illumina HiSeq 3000
DTU_2016_101_2_MG_IRN-12_1	2	2016_pil_irn_01	GS pilot 2016	Iran	IR	IRN	Tehran	35.7	51.4	pil	16	2/2/2016	wastewater	wastewater metagenome	ERS2520960	ERX2624126	ERR2607470	Illumina HiSeq 3000
DTU_2016_102_3_MG_IRN-12_2	3	2016_pil_irn_01	GS pilot 2016	Iran	IR	IRN	Tehran	35.7	51.4	pil	16	2/2/2016	wastewater	wastewater metagenome	ERS2520961	ERX2624127	ERR2607471	Illumina HiSeq 3000
DTU_2016_103_1_MG_ISL-28	1	2016_pil_isl_01	GS pilot 2016	Iceland	IS	ISL	Reykjavik	64.15	-21.94	pil	16	2/2/2016	wastewater	wastewater metagenome	ERS2520965	ERX2624131	ERR2607475	Illumina HiSeq 3000
DTU_2016_104_2_MG_ISL-28_1	2	2016_pil_isl_01	GS pilot 2016	Iceland	IS	ISL	Reykjavik	64.15	-21.94	pil	16	2/2/2016	wastewater	wastewater metagenome	ERS2520963	ERX2624129	ERR2607473	Illumina HiSeq 3000
DTU_2016_105_3_MG_ISL-28_2	3	2016_pil_isl_01	GS pilot 2016	Iceland	IS	ISL	Reykjavik	64.15	-21.94	pil	16	2/2/2016	wastewater	wastewater metagenome	ERS2520964	ERX2624130	ERR2607474	Illumina HiSeq 3000
DTU_2016_106_1_MG_ISR-29	1	2016_pil_isr_01	GS pilot 2016	Israel	IL	ISR	Jerusalem	31.78	35.23	pil	16	1/31/2016	wastewater	wastewater metagenome	ERS2520968	ERX2624134	ERR2607478	Illumina HiSeq 3000
DTU_2016_107_2_MG_ISR-29_1	2	2016_pil_isr_01	GS pilot 2016	Israel	IL	ISR	Jerusalem	31.78	35.23	pil	16	1/31/2016	wastewater	wastewater metagenome	ERS2520966	ERX2624132	ERR2607476	Illumina HiSeq 3000
DTU_2016_108_3_MG_ISR-29_2	3	2016_pil_isr_01	GS pilot 2016	Israel	IL	ISR	Jerusalem	31.78	35.23	pil	16	1/31/2016	wastewater	wastewater metagenome	ERS2520967	ERX2624133	ERR2607477	Illumina HiSeq 3000
DTU_2016_109_1_MG_ITA-30	1	2016_pil_ita_01	GS pilot 2016	Italy	IT	ITA	Rome	41.89	12.48	pil	16	2/2/2016	wastewater	wastewater metagenome	ERS2520969	ERX2624135	ERR2607479	Illumina HiSeq 3000
