Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,samp_collect_device,samp_mat_process,Sample Name,source_material_id,SRA Study
SRR10002684,WGS,302,989354416,PRJNA561080,SAMN12606829,Metagenome or environmental,363511168,NORWEGIAN DEFENCE RESEARCH ESTABLISHMENT (FFI),2017-07-13,public,"fastq,sra,run.zq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX6741867,Hong Kong,Asia,"Hong Kong:Hong Kong\,Tsing Yi",not applicable,Illumina HiSeq 2500,Subway and urban air,22.359245 N 114.107165 E,SL311004,PAIRED,RANDOM,METAGENOMIC,air metagenome,ILLUMINA,2020-08-21T00:00:00Z,2019-08-20T14:29:00Z,1,SASS 3100 electret filter air sampler,MetaSUB DNA isolation,gCSD17-HKG-AS70,gCSD17-HKG-AS70_17-07-13_Hong Kong:Hong Kong:Tsing Yi,SRP218814
SRR10002685,WGS,302,1280282492,PRJNA561080,SAMN12606828,Metagenome or environmental,486407532,NORWEGIAN DEFENCE RESEARCH ESTABLISHMENT (FFI),2017-07-13,public,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX6741866,Hong Kong,Asia,"Hong Kong:Hong Kong\,Lai King",not applicable,Illumina HiSeq 2500,Subway and urban air,22.348727 N 114.126144 E,SL311003,PAIRED,RANDOM,METAGENOMIC,air metagenome,ILLUMINA,2020-08-21T00:00:00Z,2019-08-20T14:31:00Z,1,SASS 3100 electret filter air sampler,MetaSUB DNA isolation,gCSD17-HKG-AS69,gCSD17-HKG-AS69_17-07-13_Hong Kong:Hong Kong:Lai King,SRP218814
SRR10002686,WGS,302,1367010550,PRJNA561080,SAMN12606827,Metagenome or environmental,526553151,NORWEGIAN DEFENCE RESEARCH ESTABLISHMENT (FFI),2017-07-13,public,"run.zq,fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX6741865,Hong Kong,Asia,"Hong Kong:Hong Kong\,Cheung Sha Wan",not applicable,Illumina HiSeq 2500,Subway and urban air,22.335807 N 114.156443 E,SL311002,PAIRED,RANDOM,METAGENOMIC,air metagenome,ILLUMINA,2020-08-21T00:00:00Z,2019-08-20T14:29:00Z,1,SASS 3100 electret filter air sampler,MetaSUB DNA isolation,gCSD17-HKG-AS68,gCSD17-HKG-AS68_17-07-13_Hong Kong:Hong Kong:Cheung Sha Wan,SRP218814
SRR10002687,WGS,302,1870514916,PRJNA561080,SAMN12606826,Metagenome or environmental,736803273,NORWEGIAN DEFENCE RESEARCH ESTABLISHMENT (FFI),2017-07-13,public,"sra,run.zq,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX6741864,Hong Kong,Asia,"Hong Kong:Hong Kong\,Sham Shui Po",not applicable,Illumina HiSeq 2500,Subway and urban air,22.331291 N 114.161786 E,SL311001,PAIRED,RANDOM,METAGENOMIC,air metagenome,ILLUMINA,2020-08-21T00:00:00Z,2019-08-20T14:30:00Z,1,SASS 3100 electret filter air sampler,MetaSUB DNA isolation,gCSD17-HKG-AS67,gCSD17-HKG-AS67_17-07-13_Hong Kong:Hong Kong:Sham Shui Po,SRP218814
SRR10002688,WGS,302,359849912,PRJNA561080,SAMN12606848,Metagenome or environmental,183380077,NORWEGIAN DEFENCE RESEARCH ESTABLISHMENT (FFI),2017-06-21,public,"fastq,sra,run.zq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX6741863,uncalculated,uncalculated,not applicable,not applicable,Illumina HiSeq 2500,Subway and urban air,not applicable,SL335740,PAIRED,RANDOM,METAGENOMIC,air metagenome,ILLUMINA,2020-08-21T00:00:00Z,2019-08-20T14:28:00Z,1,SASS 3100 electret filter air sampler,MetaSUB DNA isolation,gCSD17-ASC9,gCSD17-ASC9_17-06-21_Controls:Positive control,SRP218814
SRR10002689,WGS,302,1346677494,PRJNA561080,SAMN12606634,Metagenome or environmental,642460763,NORWEGIAN DEFENCE RESEARCH ESTABLISHMENT (FFI),2017-06-23,public,"sra,run.zq,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX6741862,USA,North America,"USA:Denver\,USA\,Denver Airport",not applicable,Illumina HiSeq 2500,Subway and urban air,39.8501278 N 104.6739062 W,SL335748,PAIRED,RANDOM,METAGENOMIC,air metagenome,ILLUMINA,2020-08-21T00:00:00Z,2019-08-20T14:31:00Z,1,SASS 3100 electret filter air sampler,MetaSUB DNA isolation,gCSD17-DEN-AS07,gCSD17-DEN-AS07_17-06-23_USA:Denver:USA:Denver Airport,SRP218814
SRR10002690,WGS,302,1450374630,PRJNA561080,SAMN12606635,Metagenome or environmental,661220798,NORWEGIAN DEFENCE RESEARCH ESTABLISHMENT (FFI),2017-06-23,public,"sra,run.zq,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX6741861,USA,North America,"USA:Denver\,Train Cabin - Back wagon",not applicable,Illumina HiSeq 2500,Subway and urban air,39.8501278 N 104.6739062 W,SL335749,PAIRED,RANDOM,METAGENOMIC,air metagenome,ILLUMINA,2020-08-21T00:00:00Z,2019-08-20T14:30:00Z,1,SASS 3100 electret filter air sampler,MetaSUB DNA isolation,gCSD17-DEN-AS08,gCSD17-DEN-AS08_17-06-23_USA:Denver:Train Cabin - Back wagon,SRP218814
SRR10002691,WGS,302,747268196,PRJNA561080,SAMN12606630,Metagenome or environmental,361212882,NORWEGIAN DEFENCE RESEARCH ESTABLISHMENT (FFI),2017-06-22,public,"sra,fastq,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX6741860,USA,North America,"USA:Denver\,Boulder Junction",not applicable,Illumina HiSeq 2500,Subway and urban air,40.0258734 N 105.2510194 W,SL335744,PAIRED,RANDOM,METAGENOMIC,air metagenome,ILLUMINA,2020-08-21T00:00:00Z,2019-08-20T14:28:00Z,1,SASS 3100 electret filter air sampler,MetaSUB DNA isolation,gCSD17-DEN-AS03,gCSD17-DEN-AS03_17-06-22_USA:Denver:Boulder Junction,SRP218814
SRR10002692,WGS,302,1545583754,PRJNA561080,SAMN12606631,Metagenome or environmental,710723866,NORWEGIAN DEFENCE RESEARCH ESTABLISHMENT (FFI),2017-06-22,public,"fastq,sra,run.zq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX6741859,USA,North America,"USA:Denver\,Boulder Junction",not applicable,Illumina HiSeq 2500,Subway and urban air,40.0258734 N 105.2510194 W,SL335745,PAIRED,RANDOM,METAGENOMIC,air metagenome,ILLUMINA,2020-08-21T00:00:00Z,2019-08-20T14:30:00Z,1,SASS 3100 electret filter air sampler,MetaSUB DNA isolation,gCSD17-DEN-AS04,gCSD17-DEN-AS04_17-06-22_USA:Denver:Boulder Junction,SRP218814
SRR10002693,WGS,302,1368548636,PRJNA561080,SAMN12606632,Metagenome or environmental,638311262,NORWEGIAN DEFENCE RESEARCH ESTABLISHMENT (FFI),2017-06-22,public,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX6741858,USA,North America,"USA:Denver\,Boulder Junction",not applicable,Illumina HiSeq 2500,Subway and urban air,40.0258734 N 105.2510194 W,SL335746,PAIRED,RANDOM,METAGENOMIC,air metagenome,ILLUMINA,2020-08-21T00:00:00Z,2019-08-20T14:30:00Z,1,SASS 3100 electret filter air sampler,MetaSUB DNA isolation,gCSD17-DEN-AS05,gCSD17-DEN-AS05_17-06-22_USA:Denver:Boulder Junction,SRP218814
SRR10002694,WGS,302,1383443578,PRJNA561080,SAMN12606633,Metagenome or environmental,663590086,NORWEGIAN DEFENCE RESEARCH ESTABLISHMENT (FFI),2017-06-23,public,"sra,run.zq,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX6741857,USA,North America,"USA:Denver\,USA\,Denver Airport",not applicable,Illumina HiSeq 2500,Subway and urban air,39.8501278 N 104.6739062 W,SL335747,PAIRED,RANDOM,METAGENOMIC,air metagenome,ILLUMINA,2020-08-21T00:00:00Z,2019-08-20T14:30:00Z,1,SASS 3100 electret filter air sampler,MetaSUB DNA isolation,gCSD17-DEN-AS06,gCSD17-DEN-AS06_17-06-23_USA:Denver:USA:Denver Airport,SRP218814
SRR10002695,WGS,302,1076456954,PRJNA561080,SAMN12606626,Metagenome or environmental,488473532,NORWEGIAN DEFENCE RESEARCH ESTABLISHMENT (FFI),2017-06-21,public,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX6741856,Norway,Europe,"Norway:Oslo\,Nydalen",not applicable,Illumina HiSeq 2500,Subway and urban air,59.9494 N 10.76592 E,SL335730,PAIRED,RANDOM,METAGENOMIC,air metagenome,ILLUMINA,2020-08-21T00:00:00Z,2019-08-20T14:30:00Z,1,Bobcat ACD-200 electret filter air sampler,MetaSUB DNA isolation,gCSD17-OSL-AS71,gCSD17-OSL-AS71_17-06-21_Norway:Oslo:Nydalen,SRP218814
SRR10002696,WGS,302,1114956820,PRJNA561080,SAMN12606627,Metagenome or environmental,501681968,NORWEGIAN DEFENCE RESEARCH ESTABLISHMENT (FFI),2017-06-21,public,"fastq,run.zq,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX6741855,Norway,Europe,"Norway:Oslo\,Loeren",not applicable,Illumina HiSeq 2500,Subway and urban air,59.9301 N 10.78959 E,SL335731,PAIRED,RANDOM,METAGENOMIC,air metagenome,ILLUMINA,2020-08-21T00:00:00Z,2019-08-20T14:30:00Z,1,Bobcat ACD-200 electret filter air sampler,MetaSUB DNA isolation,gCSD17-OSL-AS72,gCSD17-OSL-AS72_17-06-21_Norway:Oslo:Loeren,SRP218814
SRR10002697,WGS,302,1393154992,PRJNA561080,SAMN12606628,Metagenome or environmental,625180780,NORWEGIAN DEFENCE RESEARCH ESTABLISHMENT (FFI),2017-06-22,public,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX6741854,USA,North America,"USA:Denver\,Boulder Junction",not applicable,Illumina HiSeq 2500,Subway and urban air,40.0258734 N 105.2510194 W,SL335742,PAIRED,RANDOM,METAGENOMIC,air metagenome,ILLUMINA,2020-08-21T00:00:00Z,2019-08-20T14:31:00Z,1,SASS 3100 electret filter air sampler,MetaSUB DNA isolation,gCSD17-DEN-AS01,gCSD17-DEN-AS01_17-06-22_USA:Denver:Boulder Junction,SRP218814
SRR10002698,WGS,302,1254678932,PRJNA561080,SAMN12606629,Metagenome or environmental,578149958,NORWEGIAN DEFENCE RESEARCH ESTABLISHMENT (FFI),2017-06-22,public,"sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX6741853,USA,North America,"USA:Denver\,Boulder Junction",not applicable,Illumina HiSeq 2500,Subway and urban air,40.0258734 N 105.2510194 W,SL335743,PAIRED,RANDOM,METAGENOMIC,air metagenome,ILLUMINA,2020-08-21T00:00:00Z,2019-08-20T14:30:00Z,1,SASS 3100 electret filter air sampler,MetaSUB DNA isolation,gCSD17-DEN-AS02,gCSD17-DEN-AS02_17-06-22_USA:Denver:Boulder Junction,SRP218814
SRR10002699,WGS,302,1326582716,PRJNA561080,SAMN12606723,Metagenome or environmental,597367837,NORWEGIAN DEFENCE RESEARCH ESTABLISHMENT (FFI),2017-07-23,public,"fastq,run.zq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX6741852,United Kingdom,Europe,"United Kingdom:London\,Warren Street",not applicable,Illumina HiSeq 2500,Subway and urban air,51.48603 N 0.12369 W,SL342427,PAIRED,RANDOM,METAGENOMIC,air metagenome,ILLUMINA,2020-08-21T00:00:00Z,2019-08-20T14:31:00Z,1,SASS 3100 electret filter air sampler,MetaSUB DNA isolation,gCSD17-LON-AS36,gCSD17-LON-AS36_17-07-23_United Kingdom:London:Warren Street,SRP218814
SRR10002700,WGS,302,1528632192,PRJNA561080,SAMN12606722,Metagenome or environmental,677066731,NORWEGIAN DEFENCE RESEARCH ESTABLISHMENT (FFI),2017-08-21,public,"fastq,sra,run.zq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6741851,United Kingdom,Europe,"United Kingdom:London\,Warren Street",not applicable,Illumina HiSeq 2500,Subway and urban air,51.48603 N 0.12369 W,SL342417,PAIRED,RANDOM,METAGENOMIC,air metagenome,ILLUMINA,2020-08-21T00:00:00Z,2019-08-20T14:31:00Z,1,SASS 3100 electret filter air sampler,MetaSUB DNA isolation,gCSD17-LON-AS26,gCSD17-LON-AS26_17-08-21_United Kingdom:London:Warren Street,SRP218814
SRR10002701,WGS,302,1319669634,PRJNA561080,SAMN12606721,Metagenome or environmental,586696043,NORWEGIAN DEFENCE RESEARCH ESTABLISHMENT (FFI),2017-08-18,public,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX6741850,United Kingdom,Europe,"United Kingdom:London\,Green Park",not applicable,Illumina HiSeq 2500,Subway and urban air,51.48603 N 0.12369 W,SL342409,PAIRED,RANDOM,METAGENOMIC,air metagenome,ILLUMINA,2020-08-21T00:00:00Z,2019-08-20T14:31:00Z,1,SASS 3100 electret filter air sampler,MetaSUB DNA isolation,gCSD17-LON-AS18,gCSD17-LON-AS18_17-08-18_United Kingdom:London:Green Park,SRP218814
SRR10002702,WGS,302,1084119902,PRJNA561080,SAMN12606585,Metagenome or environmental,503524815,NORWEGIAN DEFENCE RESEARCH ESTABLISHMENT (FFI),2017-06-23,public,"run.zq,sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX6741849,Norway,Europe,"Norway:Oslo\,Forskningsparken",not applicable,Illumina HiSeq 2500,Subway and urban air,59.9437 N 10.72088 E,SL335689,PAIRED,RANDOM,METAGENOMIC,air metagenome,ILLUMINA,2020-08-21T00:00:00Z,2019-08-20T14:30:00Z,1,SASS 3100 electret filter air sampler,MetaSUB DNA isolation,gCSD17-OSL-AS30,gCSD17-OSL-AS30_17-06-23_Norway:Oslo:Forskningsparken,SRP218814
SRR10002703,WGS,302,1486724256,PRJNA561080,SAMN12606720,Metagenome or environmental,663249575,NORWEGIAN DEFENCE RESEARCH ESTABLISHMENT (FFI),2017-06-21,public,"sra,run.zq,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX6741614,United Kingdom,Europe,"United Kingdom:London\,Green Park",not applicable,Illumina HiSeq 2500,Subway and urban air,51.48603 N 0.12369 W,SL342399,PAIRED,RANDOM,METAGENOMIC,air metagenome,ILLUMINA,2020-08-21T00:00:00Z,2019-08-20T14:32:00Z,1,SASS 3100 electret filter air sampler,MetaSUB DNA isolation,gCSD17-LON-AS8,gCSD17-LON-AS8_17-06-21_United Kingdom:London:Green Park,SRP218814
SRR10002704,WGS,302,1201558340,PRJNA561080,SAMN12606584,Metagenome or environmental,535152078,NORWEGIAN DEFENCE RESEARCH ESTABLISHMENT (FFI),2017-06-23,public,"run.zq,fastq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX6741848,Norway,Europe,"Norway:Oslo\,Majorstua",not applicable,Illumina HiSeq 2500,Subway and urban air,59.93016 N 10.71473 E,SL335688,PAIRED,RANDOM,METAGENOMIC,air metagenome,ILLUMINA,2020-08-21T00:00:00Z,2019-08-20T14:30:00Z,1,SASS 3100 electret filter air sampler,MetaSUB DNA isolation,gCSD17-OSL-AS29,gCSD17-OSL-AS29_17-06-23_Norway:Oslo:Majorstua,SRP218814
SRR10002705,WGS,302,1110957434,PRJNA561080,SAMN12606583,Metagenome or environmental,519444250,NORWEGIAN DEFENCE RESEARCH ESTABLISHMENT (FFI),2017-06-23,public,"sra,run.zq,fastq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX6741847,Norway,Europe,"Norway:Oslo\,Toeyen",not applicable,Illumina HiSeq 2500,Subway and urban air,59.91558 N 10.7758 E,SL335687,PAIRED,RANDOM,METAGENOMIC,air metagenome,ILLUMINA,2020-08-21T00:00:00Z,2019-08-20T14:31:00Z,1,SASS 3100 electret filter air sampler,MetaSUB DNA isolation,gCSD17-OSL-AS28,gCSD17-OSL-AS28_17-06-23_Norway:Oslo:Toeyen,SRP218814
SRR10002706,WGS,302,1185760720,PRJNA561080,SAMN12606582,Metagenome or environmental,561495141,NORWEGIAN DEFENCE RESEARCH ESTABLISHMENT (FFI),2017-06-23,public,"sra,run.zq,fastq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX6741846,Norway,Europe,"Norway:Oslo\,Helsfyr",not applicable,Illumina HiSeq 2500,Subway and urban air,59.91259 N 10.80139 E,SL335686,PAIRED,RANDOM,METAGENOMIC,air metagenome,ILLUMINA,2020-08-21T00:00:00Z,2019-08-20T14:31:00Z,1,SASS 3100 electret filter air sampler,MetaSUB DNA isolation,gCSD17-OSL-AS27,gCSD17-OSL-AS27_17-06-23_Norway:Oslo:Helsfyr,SRP218814
SRR10002707,WGS,302,898204172,PRJNA561080,SAMN12606581,Metagenome or environmental,417446009,NORWEGIAN DEFENCE RESEARCH ESTABLISHMENT (FFI),2017-06-23,public,"fastq,sra,run.zq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX6741845,Norway,Europe,"Norway:Oslo\,Lindeberg",not applicable,Illumina HiSeq 2500,Subway and urban air,59.93276 N 10.88167 E,SL335685,PAIRED,RANDOM,METAGENOMIC,air metagenome,ILLUMINA,2020-08-21T00:00:00Z,2019-08-20T14:31:00Z,1,SASS 3100 electret filter air sampler,MetaSUB DNA isolation,gCSD17-OSL-AS26,gCSD17-OSL-AS26_17-06-23_Norway:Oslo:Lindeberg,SRP218814
SRR10002708,WGS,302,1360359302,PRJNA561080,SAMN12606580,Metagenome or environmental,630370568,NORWEGIAN DEFENCE RESEARCH ESTABLISHMENT (FFI),2017-06-23,public,"fastq,sra,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX6741844,Norway,Europe,"Norway:Oslo\,Ellingsrudaasen",not applicable,Illumina HiSeq 2500,Subway and urban air,59.93651 N 10.91664 E,SL335684,PAIRED,RANDOM,METAGENOMIC,air metagenome,ILLUMINA,2020-08-21T00:00:00Z,2019-08-20T14:32:00Z,1,SASS 3100 electret filter air sampler,MetaSUB DNA isolation,gCSD17-OSL-AS25,gCSD17-OSL-AS25_17-06-23_Norway:Oslo:Ellingsrudaasen,SRP218814
SRR10002709,WGS,302,1158220434,PRJNA561080,SAMN12606579,Metagenome or environmental,555299789,NORWEGIAN DEFENCE RESEARCH ESTABLISHMENT (FFI),2017-06-23,public,"run.zq,fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX6741843,Norway,Europe,"Norway:Oslo\,Montebello",not applicable,Illumina HiSeq 2500,Subway and urban air,59.93482 N 10.6664 E,SL335683,PAIRED,RANDOM,METAGENOMIC,air metagenome,ILLUMINA,2020-08-21T00:00:00Z,2019-08-20T14:32:00Z,1,SASS 3100 electret filter air sampler,MetaSUB DNA isolation,gCSD17-OSL-AS24,gCSD17-OSL-AS24_17-06-23_Norway:Oslo:Montebello,SRP218814
